REGCODE,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,v024,REGNAME
55,dm_undiagnosed,21.1,13,29.3,Proportion,"21.1 (13, 29.3)",122,,NA,Chandigarh,4,Chandigarh
56,dm_unscreened,31.8,17.6,45.9,Proportion,"31.8 (17.6, 45.9)",63,,NA,Uttarakhand,5,Uttarkashi
56,dm_undiagnosed,44.8,30.6,59.1,Proportion,"44.8 (30.6, 59.1)",63,,NA,Uttarakhand,5,Uttarkashi
57,dm_unscreened,12.1,5.4,18.8,Proportion,"12.1 (5.4, 18.8)",67,,NA,Uttarakhand,5,Chamoli
57,dm_undiagnosed,18.1,10.1,26.1,Proportion,"18.1 (10.1, 26.1)",67,,NA,Uttarakhand,5,Chamoli
58,dm_unscreened,19.8,8.9,30.6,Proportion,"19.8 (8.9, 30.6)",78,,NA,Uttarakhand,5,Rudraprayag
58,dm_undiagnosed,28.9,17.1,40.7,Proportion,"28.9 (17.1, 40.7)",78,,NA,Uttarakhand,5,Rudraprayag
59,dm_unscreened,13.2,5.5,20.9,Proportion,"13.2 (5.5, 20.9)",89,,NA,Uttarakhand,5,Tehri Garhwal
59,dm_undiagnosed,22,11.8,32.2,Proportion,"22 (11.8, 32.2)",89,,NA,Uttarakhand,5,Tehri Garhwal
60,dm_unscreened,12,5.6,18.4,Proportion,"12 (5.6, 18.4)",142,,NA,Uttarakhand,5,Dehradun
60,dm_undiagnosed,20.3,12.5,28,Proportion,"20.3 (12.5, 28)",142,,NA,Uttarakhand,5,Dehradun
61,dm_unscreened,7.8,2,13.6,Proportion,"7.8 (2, 13.6)",97,,NA,Uttarakhand,5,Garhwal
61,dm_undiagnosed,12.7,5.4,20,Proportion,"12.7 (5.4, 20)",97,,NA,Uttarakhand,5,Garhwal
62,dm_unscreened,12.5,3.7,21.3,Proportion,"12.5 (3.7, 21.3)",71,,NA,Uttarakhand,5,Pithoragarh
62,dm_undiagnosed,26.9,18.2,35.6,Proportion,"26.9 (18.2, 35.6)",71,,NA,Uttarakhand,5,Pithoragarh
63,dm_unscreened,23.4,14.4,32.5,Proportion,"23.4 (14.4, 32.5)",77,,NA,Uttarakhand,5,Bageshwar
63,dm_undiagnosed,32.8,19.6,46.1,Proportion,"32.8 (19.6, 46.1)",77,,NA,Uttarakhand,5,Bageshwar
64,dm_unscreened,7.7,1.8,13.6,Proportion,"7.7 (1.8, 13.6)",95,,NA,Uttarakhand,5,Almora
64,dm_undiagnosed,14,7.2,20.8,Proportion,"14 (7.2, 20.8)",95,,NA,Uttarakhand,5,Almora
65,dm_unscreened,18.5,8.8,28.2,Proportion,"18.5 (8.8, 28.2)",113,,NA,Uttarakhand,5,Champawat
65,dm_undiagnosed,21.2,11.4,30.9,Proportion,"21.2 (11.4, 30.9)",113,,NA,Uttarakhand,5,Champawat
66,dm_unscreened,6.2,2.6,9.9,Proportion,"6.2 (2.6, 9.9)",168,,NA,Uttarakhand,5,Nainital
66,dm_undiagnosed,11.9,6.3,17.5,Proportion,"11.9 (6.3, 17.5)",168,,NA,Uttarakhand,5,Nainital
67,dm_unscreened,15.3,7.3,23.4,Proportion,"15.3 (7.3, 23.4)",137,,NA,Uttarakhand,5,Udham Singh Nagar
67,dm_undiagnosed,30.1,21.7,38.6,Proportion,"30.1 (21.7, 38.6)",137,,NA,Uttarakhand,5,Udham Singh Nagar
68,dm_unscreened,9.9,5.3,14.5,Proportion,"9.9 (5.3, 14.5)",114,,NA,Uttarakhand,5,Hardwar
68,dm_undiagnosed,15.7,9.3,22.1,Proportion,"15.7 (9.3, 22.1)",114,,NA,Uttarakhand,5,Hardwar
69,dm_unscreened,3.7,0,7.3,Proportion,"3.7 (0, 7.3)",112,,NA,Haryana,6,Panchkula
69,dm_undiagnosed,24.8,15.3,34.3,Proportion,"24.8 (15.3, 34.3)",112,,NA,Haryana,6,Panchkula
70,dm_unscreened,7.5,3.3,11.8,Proportion,"7.5 (3.3, 11.8)",174,,NA,Haryana,6,Ambala
70,dm_undiagnosed,15.1,8.6,21.7,Proportion,"15.1 (8.6, 21.7)",174,,NA,Haryana,6,Ambala
71,dm_unscreened,10.2,5,15.3,Proportion,"10.2 (5, 15.3)",228,,NA,Haryana,6,Yamunanagar
71,dm_undiagnosed,19.9,14.3,25.5,Proportion,"19.9 (14.3, 25.5)",228,,NA,Haryana,6,Yamunanagar
72,dm_unscreened,5.4,2,8.8,Proportion,"5.4 (2, 8.8)",245,,NA,Haryana,6,Kurukshetra
72,dm_undiagnosed,12.2,6.3,18.2,Proportion,"12.2 (6.3, 18.2)",245,,NA,Haryana,6,Kurukshetra
73,dm_unscreened,6.7,0.5,12.9,Proportion,"6.7 (0.5, 12.9)",88,,NA,Haryana,6,Kaithal
73,dm_undiagnosed,21.6,10.9,32.3,Proportion,"21.6 (10.9, 32.3)",88,,NA,Haryana,6,Kaithal
74,dm_unscreened,7.4,3.5,11.4,Proportion,"7.4 (3.5, 11.4)",147,,NA,Haryana,6,Karnal
74,dm_undiagnosed,19.6,13,26.1,Proportion,"19.6 (13, 26.1)",147,,NA,Haryana,6,Karnal
75,dm_unscreened,7.2,3.1,11.2,Proportion,"7.2 (3.1, 11.2)",174,,NA,Haryana,6,Panipat
75,dm_undiagnosed,14.8,7.8,21.8,Proportion,"14.8 (7.8, 21.8)",174,,NA,Haryana,6,Panipat
76,dm_unscreened,11.9,4.8,19,Proportion,"11.9 (4.8, 19)",134,,NA,Haryana,6,Sonipat
76,dm_undiagnosed,24.1,14.2,34.1,Proportion,"24.1 (14.2, 34.1)",134,,NA,Haryana,6,Sonipat
77,dm_unscreened,17.3,9.8,24.7,Proportion,"17.3 (9.8, 24.7)",94,,NA,Haryana,6,Jind
77,dm_undiagnosed,36.1,26.3,45.8,Proportion,"36.1 (26.3, 45.8)",94,,NA,Haryana,6,Jind
78,dm_unscreened,16.9,9.1,24.6,Proportion,"16.9 (9.1, 24.6)",108,,NA,Haryana,6,Fatehabad
78,dm_undiagnosed,35.7,26.6,44.8,Proportion,"35.7 (26.6, 44.8)",108,,NA,Haryana,6,Fatehabad
79,dm_unscreened,13.8,5.3,22.2,Proportion,"13.8 (5.3, 22.2)",136,,NA,Haryana,6,Sirsa
79,dm_undiagnosed,18.4,8.6,28.3,Proportion,"18.4 (8.6, 28.3)",136,,NA,Haryana,6,Sirsa
80,dm_unscreened,9.6,4.1,15.1,Proportion,"9.6 (4.1, 15.1)",194,,NA,Haryana,6,Hisar
80,dm_undiagnosed,17.9,9.4,26.5,Proportion,"17.9 (9.4, 26.5)",194,,NA,Haryana,6,Hisar
82,dm_unscreened,4.3,0.4,8.1,Proportion,"4.3 (0.4, 8.1)",226,,NA,Haryana,6,Rohtak
82,dm_undiagnosed,10.6,4.7,16.4,Proportion,"10.6 (4.7, 16.4)",226,,NA,Haryana,6,Rohtak
83,dm_unscreened,16.7,9.2,24.2,Proportion,"16.7 (9.2, 24.2)",105,,NA,Haryana,6,Jhajjar
83,dm_undiagnosed,29.6,22.7,36.5,Proportion,"29.6 (22.7, 36.5)",105,,NA,Haryana,6,Jhajjar
84,dm_unscreened,20.2,11.1,29.3,Proportion,"20.2 (11.1, 29.3)",91,,NA,Haryana,6,Mahendragarh
84,dm_undiagnosed,42.5,31,53.9,Proportion,"42.5 (31, 53.9)",91,,NA,Haryana,6,Mahendragarh
85,dm_unscreened,19.2,4.9,33.4,Proportion,"19.2 (4.9, 33.4)",79,,NA,Haryana,6,Rewari
85,dm_undiagnosed,26.9,12.4,41.5,Proportion,"26.9 (12.4, 41.5)",79,,NA,Haryana,6,Rewari
86,dm_unscreened,4.4,-1.4,10.2,Proportion,"4.4 (-1.4, 10.2)",49,,NA,Haryana,6,Gurgaon
86,dm_undiagnosed,8.1,0.9,15.2,Proportion,"8.1 (0.9, 15.2)",49,,NA,Haryana,6,Gurgaon
87,dm_unscreened,31.3,10.7,51.9,Proportion,"31.3 (10.7, 51.9)",40,,NA,Haryana,6,Mewat
87,dm_undiagnosed,45.5,27.5,63.5,Proportion,"45.5 (27.5, 63.5)",40,,NA,Haryana,6,Mewat
88,dm_unscreened,6.2,1.6,10.8,Proportion,"6.2 (1.6, 10.8)",117,,NA,Haryana,6,Faridabad
88,dm_undiagnosed,15.7,7.9,23.4,Proportion,"15.7 (7.9, 23.4)",117,,NA,Haryana,6,Faridabad
89,dm_unscreened,18.7,9.3,28,Proportion,"18.7 (9.3, 28)",105,,NA,Haryana,6,Palwal
89,dm_undiagnosed,29.3,20.4,38.3,Proportion,"29.3 (20.4, 38.3)",105,,NA,Haryana,6,Palwal
99,dm_unscreened,15.7,7.4,24,Proportion,"15.7 (7.4, 24)",206,,NA,Rajasthan,8,Ganganagar
99,dm_undiagnosed,19.8,10.7,29,Proportion,"19.8 (10.7, 29)",206,,NA,Rajasthan,8,Ganganagar
100,dm_unscreened,7.4,2,12.7,Proportion,"7.4 (2, 12.7)",188,,NA,Rajasthan,8,Hanumangarh
100,dm_undiagnosed,11.1,4.8,17.5,Proportion,"11.1 (4.8, 17.5)",188,,NA,Rajasthan,8,Hanumangarh
101,dm_unscreened,9.1,1.6,16.5,Proportion,"9.1 (1.6, 16.5)",136,,NA,Rajasthan,8,Bikaner
101,dm_undiagnosed,13.5,4.9,22.1,Proportion,"13.5 (4.9, 22.1)",136,,NA,Rajasthan,8,Bikaner
102,dm_unscreened,12.2,3.6,20.7,Proportion,"12.2 (3.6, 20.7)",136,,NA,Rajasthan,8,Churu
102,dm_undiagnosed,16.5,8,25,Proportion,"16.5 (8, 25)",136,,NA,Rajasthan,8,Churu
103,dm_unscreened,8,3,13,Proportion,"8 (3, 13)",161,,NA,Rajasthan,8,Jhunjhunun
103,dm_undiagnosed,9.8,3.9,15.6,Proportion,"9.8 (3.9, 15.6)",161,,NA,Rajasthan,8,Jhunjhunun
104,dm_unscreened,24.5,12.8,36.2,Proportion,"24.5 (12.8, 36.2)",53,,NA,Rajasthan,8,Alwar
104,dm_undiagnosed,31.6,18.2,45,Proportion,"31.6 (18.2, 45)",53,,NA,Rajasthan,8,Alwar
105,dm_unscreened,30.4,22.2,38.6,Proportion,"30.4 (22.2, 38.6)",68,,NA,Rajasthan,8,Bharatpur
105,dm_undiagnosed,34.9,25.4,44.3,Proportion,"34.9 (25.4, 44.3)",68,,NA,Rajasthan,8,Bharatpur
106,dm_unscreened,23.5,6.6,40.5,Proportion,"23.5 (6.6, 40.5)",40,,NA,Rajasthan,8,Dhaulpur
106,dm_undiagnosed,36.6,21,52.1,Proportion,"36.6 (21, 52.1)",40,,NA,Rajasthan,8,Dhaulpur
107,dm_unscreened,25.4,8.7,42,Proportion,"25.4 (8.7, 42)",34,,NA,Rajasthan,8,Karauli
107,dm_undiagnosed,38.3,22.4,54.2,Proportion,"38.3 (22.4, 54.2)",34,,NA,Rajasthan,8,Karauli
108,dm_unscreened,13.3,3,23.7,Proportion,"13.3 (3, 23.7)",49,,NA,Rajasthan,8,Sawai Madhopur
108,dm_undiagnosed,22.3,9,35.6,Proportion,"22.3 (9, 35.6)",49,,NA,Rajasthan,8,Sawai Madhopur
