REGCODE,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,v024,REGNAME
51,dm_undiagnosed,60.7,52.3,69.1,Proportion,"60.7 (52.3, 69.1)",293,,NA,Punjab,3,Rupnagar
52,dm_unscreened,13.2,4.2,22.2,Proportion,"13.2 (4.2, 22.2)",242,,NA,Punjab,3,Sahibzada Ajit Singh Nagar
52,dm_undiagnosed,60.4,49.1,71.6,Proportion,"60.4 (49.1, 71.6)",242,,NA,Punjab,3,Sahibzada Ajit Singh Nagar
53,dm_unscreened,24.8,16.3,33.3,Proportion,"24.8 (16.3, 33.3)",200,,NA,Punjab,3,Sangrur
53,dm_undiagnosed,41.8,31.4,52.2,Proportion,"41.8 (31.4, 52.2)",200,,NA,Punjab,3,Sangrur
54,dm_unscreened,28.7,19.1,38.3,Proportion,"28.7 (19.1, 38.3)",230,,NA,Punjab,3,Barnala
54,dm_undiagnosed,54.9,45.3,64.4,Proportion,"54.9 (45.3, 64.4)",230,,NA,Punjab,3,Barnala
55,dm_unscreened,24.3,15.5,33.2,Proportion,"24.3 (15.5, 33.2)",185,,NA,Chandigarh,4,Chandigarh
55,dm_undiagnosed,53.9,42.8,65,Proportion,"53.9 (42.8, 65)",185,,NA,Chandigarh,4,Chandigarh
56,dm_unscreened,39.8,26.9,52.6,Proportion,"39.8 (26.9, 52.6)",140,,NA,Uttarakhand,5,Uttarkashi
56,dm_undiagnosed,74.3,62.6,86,Proportion,"74.3 (62.6, 86)",140,,NA,Uttarakhand,5,Uttarkashi
57,dm_unscreened,40.6,26.8,54.4,Proportion,"40.6 (26.8, 54.4)",121,,NA,Uttarakhand,5,Chamoli
57,dm_undiagnosed,56.3,44.5,68.1,Proportion,"56.3 (44.5, 68.1)",121,,NA,Uttarakhand,5,Chamoli
58,dm_unscreened,53.2,40.1,66.3,Proportion,"53.2 (40.1, 66.3)",162,,NA,Uttarakhand,5,Rudraprayag
58,dm_undiagnosed,71.8,62.1,81.5,Proportion,"71.8 (62.1, 81.5)",162,,NA,Uttarakhand,5,Rudraprayag
59,dm_unscreened,43.4,30.8,55.9,Proportion,"43.4 (30.8, 55.9)",154,,NA,Uttarakhand,5,Tehri Garhwal
