REGCODE,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,v024,REGNAME
47,dm_unscreened,18.1,5.9,30.3,Proportion,"18.1 (5.9, 30.3)",121,,NA,Punjab,3,Mansa
47,dm_undiagnosed,25.6,12.1,39.1,Proportion,"25.6 (12.1, 39.1)",121,,NA,Punjab,3,Mansa
48,dm_unscreened,12.8,-0.6,26.3,Proportion,"12.8 (-0.6, 26.3)",146,,NA,Punjab,3,Patiala
48,dm_undiagnosed,37.2,20.1,54.3,Proportion,"37.2 (20.1, 54.3)",146,,NA,Punjab,3,Patiala
49,dm_unscreened,10.5,1.1,20,Proportion,"10.5 (1.1, 20)",137,,NA,Punjab,3,Amritsar
49,dm_undiagnosed,23.1,10.1,36.1,Proportion,"23.1 (10.1, 36.1)",137,,NA,Punjab,3,Amritsar
50,dm_unscreened,14.8,2.2,27.4,Proportion,"14.8 (2.2, 27.4)",102,,NA,Punjab,3,Tarn Taran
50,dm_undiagnosed,41.4,28.6,54.1,Proportion,"41.4 (28.6, 54.1)",102,,NA,Punjab,3,Tarn Taran
51,dm_unscreened,3,0.8,5.1,Proportion,"3 (0.8, 5.1)",182,,NA,Punjab,3,Rupnagar
51,dm_undiagnosed,19.6,7,32.2,Proportion,"19.6 (7, 32.2)",182,,NA,Punjab,3,Rupnagar
52,dm_unscreened,3.1,0.4,5.8,Proportion,"3.1 (0.4, 5.8)",154,,NA,Punjab,3,Sahibzada Ajit Singh Nagar
52,dm_undiagnosed,27.7,11.4,44,Proportion,"27.7 (11.4, 44)",154,,NA,Punjab,3,Sahibzada Ajit Singh Nagar
53,dm_unscreened,9.1,4.4,13.8,Proportion,"9.1 (4.4, 13.8)",132,,NA,Punjab,3,Sangrur
53,dm_undiagnosed,13.9,8.1,19.6,Proportion,"13.9 (8.1, 19.6)",132,,NA,Punjab,3,Sangrur
54,dm_unscreened,6.8,-0.5,14.2,Proportion,"6.8 (-0.5, 14.2)",153,,NA,Punjab,3,Barnala
54,dm_undiagnosed,23.7,11.7,35.8,Proportion,"23.7 (11.7, 35.8)",153,,NA,Punjab,3,Barnala
55,dm_unscreened,12.2,3.9,20.5,Proportion,"12.2 (3.9, 20.5)",122,,NA,Chandigarh,4,Chandigarh
55,dm_undiagnosed,29.4,15.1,43.7,Proportion,"29.4 (15.1, 43.7)",122,,NA,Chandigarh,4,Chandigarh
56,dm_unscreened,26.4,11.2,41.7,Proportion,"26.4 (11.2, 41.7)",63,,NA,Uttarakhand,5,Uttarkashi
56,dm_undiagnosed,42.8,24.4,61.3,Proportion,"42.8 (24.4, 61.3)",63,,NA,Uttarakhand,5,Uttarkashi
57,dm_unscreened,11.1,4,18.2,Proportion,"11.1 (4, 18.2)",67,,NA,Uttarakhand,5,Chamoli
57,dm_undiagnosed,15.4,8.2,22.6,Proportion,"15.4 (8.2, 22.6)",67,,NA,Uttarakhand,5,Chamoli
58,dm_unscreened,25.9,6,45.8,Proportion,"25.9 (6, 45.8)",78,,NA,Uttarakhand,5,Rudraprayag
58,dm_undiagnosed,30.9,10.9,50.9,Proportion,"30.9 (10.9, 50.9)",78,,NA,Uttarakhand,5,Rudraprayag
59,dm_unscreened,6.9,2.8,11.1,Proportion,"6.9 (2.8, 11.1)",89,,NA,Uttarakhand,5,Tehri Garhwal
59,dm_undiagnosed,12.1,6.6,17.7,Proportion,"12.1 (6.6, 17.7)",89,,NA,Uttarakhand,5,Tehri Garhwal
60,dm_unscreened,19.8,8.4,31.3,Proportion,"19.8 (8.4, 31.3)",142,,NA,Uttarakhand,5,Dehradun
60,dm_undiagnosed,28.1,16,40.1,Proportion,"28.1 (16, 40.1)",142,,NA,Uttarakhand,5,Dehradun
61,dm_unscreened,6.2,0.4,12,Proportion,"6.2 (0.4, 12)",97,,NA,Uttarakhand,5,Garhwal
61,dm_undiagnosed,11.2,0.2,22.2,Proportion,"11.2 (0.2, 22.2)",97,,NA,Uttarakhand,5,Garhwal
62,dm_unscreened,6.6,2.2,11,Proportion,"6.6 (2.2, 11)",71,,NA,Uttarakhand,5,Pithoragarh
62,dm_undiagnosed,14.6,9.9,19.4,Proportion,"14.6 (9.9, 19.4)",71,,NA,Uttarakhand,5,Pithoragarh
63,dm_unscreened,25.8,12.2,39.4,Proportion,"25.8 (12.2, 39.4)",77,,NA,Uttarakhand,5,Bageshwar
63,dm_undiagnosed,32.7,17.2,48.2,Proportion,"32.7 (17.2, 48.2)",77,,NA,Uttarakhand,5,Bageshwar
64,dm_unscreened,13.3,-4.3,30.8,Proportion,"13.3 (-4.3, 30.8)",95,,NA,Uttarakhand,5,Almora
64,dm_undiagnosed,15.9,-1.8,33.6,Proportion,"15.9 (-1.8, 33.6)",95,,NA,Uttarakhand,5,Almora
65,dm_unscreened,19.9,7.4,32.4,Proportion,"19.9 (7.4, 32.4)",113,,NA,Uttarakhand,5,Champawat
65,dm_undiagnosed,21.6,9.6,33.6,Proportion,"21.6 (9.6, 33.6)",113,,NA,Uttarakhand,5,Champawat
66,dm_unscreened,9.6,2.5,16.7,Proportion,"9.6 (2.5, 16.7)",168,,NA,Uttarakhand,5,Nainital
66,dm_undiagnosed,12.5,4.8,20.3,Proportion,"12.5 (4.8, 20.3)",168,,NA,Uttarakhand,5,Nainital
67,dm_unscreened,20.6,9.6,31.6,Proportion,"20.6 (9.6, 31.6)",137,,NA,Uttarakhand,5,Udham Singh Nagar
67,dm_undiagnosed,35.6,23.6,47.6,Proportion,"35.6 (23.6, 47.6)",137,,NA,Uttarakhand,5,Udham Singh Nagar
68,dm_unscreened,11.7,5.5,18,Proportion,"11.7 (5.5, 18)",114,,NA,Uttarakhand,5,Hardwar
68,dm_undiagnosed,19.1,9.6,28.5,Proportion,"19.1 (9.6, 28.5)",114,,NA,Uttarakhand,5,Hardwar
69,dm_unscreened,4.8,-2.1,11.8,Proportion,"4.8 (-2.1, 11.8)",112,,NA,Haryana,6,Panchkula
69,dm_undiagnosed,26.3,10.5,42.1,Proportion,"26.3 (10.5, 42.1)",112,,NA,Haryana,6,Panchkula
70,dm_unscreened,12.3,2.4,22.2,Proportion,"12.3 (2.4, 22.2)",174,,NA,Haryana,6,Ambala
70,dm_undiagnosed,19.1,7.5,30.7,Proportion,"19.1 (7.5, 30.7)",174,,NA,Haryana,6,Ambala
71,dm_unscreened,11.9,5.8,18,Proportion,"11.9 (5.8, 18)",228,,NA,Haryana,6,Yamunanagar
71,dm_undiagnosed,20,13.4,26.7,Proportion,"20 (13.4, 26.7)",228,,NA,Haryana,6,Yamunanagar
72,dm_unscreened,6.9,2.4,11.4,Proportion,"6.9 (2.4, 11.4)",245,,NA,Haryana,6,Kurukshetra
72,dm_undiagnosed,12.6,6.7,18.5,Proportion,"12.6 (6.7, 18.5)",245,,NA,Haryana,6,Kurukshetra
73,dm_unscreened,3.9,0.4,7.4,Proportion,"3.9 (0.4, 7.4)",88,,NA,Haryana,6,Kaithal
73,dm_undiagnosed,17.8,7.5,28.1,Proportion,"17.8 (7.5, 28.1)",88,,NA,Haryana,6,Kaithal
74,dm_unscreened,6.4,1.3,11.6,Proportion,"6.4 (1.3, 11.6)",147,,NA,Haryana,6,Karnal
74,dm_undiagnosed,16.9,8.4,25.3,Proportion,"16.9 (8.4, 25.3)",147,,NA,Haryana,6,Karnal
75,dm_unscreened,6.3,2,10.5,Proportion,"6.3 (2, 10.5)",174,,NA,Haryana,6,Panipat
75,dm_undiagnosed,13.8,6,21.6,Proportion,"13.8 (6, 21.6)",174,,NA,Haryana,6,Panipat
76,dm_unscreened,19.5,11,28,Proportion,"19.5 (11, 28)",134,,NA,Haryana,6,Sonipat
76,dm_undiagnosed,29.1,19.9,38.3,Proportion,"29.1 (19.9, 38.3)",134,,NA,Haryana,6,Sonipat
77,dm_unscreened,25,14.9,35,Proportion,"25 (14.9, 35)",94,,NA,Haryana,6,Jind
77,dm_undiagnosed,45.9,32.7,59.1,Proportion,"45.9 (32.7, 59.1)",94,,NA,Haryana,6,Jind
78,dm_unscreened,20.8,9.5,32.1,Proportion,"20.8 (9.5, 32.1)",108,,NA,Haryana,6,Fatehabad
78,dm_undiagnosed,37.2,24.1,50.2,Proportion,"37.2 (24.1, 50.2)",108,,NA,Haryana,6,Fatehabad
79,dm_unscreened,13.3,3.8,22.8,Proportion,"13.3 (3.8, 22.8)",136,,NA,Haryana,6,Sirsa
79,dm_undiagnosed,16.2,6.3,26.2,Proportion,"16.2 (6.3, 26.2)",136,,NA,Haryana,6,Sirsa
80,dm_unscreened,10,3.7,16.4,Proportion,"10 (3.7, 16.4)",194,,NA,Haryana,6,Hisar
80,dm_undiagnosed,15.6,7.7,23.6,Proportion,"15.6 (7.7, 23.6)",194,,NA,Haryana,6,Hisar
82,dm_unscreened,3.1,0.3,6,Proportion,"3.1 (0.3, 6)",226,,NA,Haryana,6,Rohtak
82,dm_undiagnosed,8.8,3.6,14,Proportion,"8.8 (3.6, 14)",226,,NA,Haryana,6,Rohtak
83,dm_unscreened,15.7,6.4,24.9,Proportion,"15.7 (6.4, 24.9)",105,,NA,Haryana,6,Jhajjar
83,dm_undiagnosed,27.5,16.7,38.3,Proportion,"27.5 (16.7, 38.3)",105,,NA,Haryana,6,Jhajjar
84,dm_unscreened,27.7,14.7,40.6,Proportion,"27.7 (14.7, 40.6)",91,,NA,Haryana,6,Mahendragarh
84,dm_undiagnosed,54.2,41.4,67.1,Proportion,"54.2 (41.4, 67.1)",91,,NA,Haryana,6,Mahendragarh
85,dm_unscreened,21.7,1.8,41.5,Proportion,"21.7 (1.8, 41.5)",79,,NA,Haryana,6,Rewari
85,dm_undiagnosed,31.6,10.8,52.4,Proportion,"31.6 (10.8, 52.4)",79,,NA,Haryana,6,Rewari
86,dm_unscreened,8.4,-2.5,19.4,Proportion,"8.4 (-2.5, 19.4)",49,,NA,Haryana,6,Gurgaon
86,dm_undiagnosed,20.5,6,35,Proportion,"20.5 (6, 35)",49,,NA,Haryana,6,Gurgaon
87,dm_unscreened,32.5,9.8,55.3,Proportion,"32.5 (9.8, 55.3)",40,,NA,Haryana,6,Mewat
87,dm_undiagnosed,40.8,19.2,62.5,Proportion,"40.8 (19.2, 62.5)",40,,NA,Haryana,6,Mewat
88,dm_unscreened,10,0.3,19.6,Proportion,"10 (0.3, 19.6)",117,,NA,Haryana,6,Faridabad
88,dm_undiagnosed,18.5,5.7,31.3,Proportion,"18.5 (5.7, 31.3)",117,,NA,Haryana,6,Faridabad
89,dm_unscreened,19.6,9.4,29.7,Proportion,"19.6 (9.4, 29.7)",105,,NA,Haryana,6,Palwal
89,dm_undiagnosed,29.1,19.2,38.9,Proportion,"29.1 (19.2, 38.9)",105,,NA,Haryana,6,Palwal
99,dm_unscreened,12.8,5.3,20.2,Proportion,"12.8 (5.3, 20.2)",206,,NA,Rajasthan,8,Ganganagar
99,dm_undiagnosed,18.2,8.3,28.2,Proportion,"18.2 (8.3, 28.2)",206,,NA,Rajasthan,8,Ganganagar
100,dm_unscreened,6.3,1.6,11.1,Proportion,"6.3 (1.6, 11.1)",188,,NA,Rajasthan,8,Hanumangarh
100,dm_undiagnosed,9,3.7,14.3,Proportion,"9 (3.7, 14.3)",188,,NA,Rajasthan,8,Hanumangarh
101,dm_unscreened,6.2,1.4,11,Proportion,"6.2 (1.4, 11)",136,,NA,Rajasthan,8,Bikaner
101,dm_undiagnosed,8.7,3.6,13.8,Proportion,"8.7 (3.6, 13.8)",136,,NA,Rajasthan,8,Bikaner
102,dm_unscreened,8.5,2.9,14.1,Proportion,"8.5 (2.9, 14.1)",136,,NA,Rajasthan,8,Churu
102,dm_undiagnosed,11.7,5.8,17.6,Proportion,"11.7 (5.8, 17.6)",136,,NA,Rajasthan,8,Churu
103,dm_unscreened,6.4,2.4,10.4,Proportion,"6.4 (2.4, 10.4)",161,,NA,Rajasthan,8,Jhunjhunun
103,dm_undiagnosed,8.4,2.9,14,Proportion,"8.4 (2.9, 14)",161,,NA,Rajasthan,8,Jhunjhunun
104,dm_unscreened,26.3,13.8,38.9,Proportion,"26.3 (13.8, 38.9)",53,,NA,Rajasthan,8,Alwar
104,dm_undiagnosed,31.7,18.2,45.2,Proportion,"31.7 (18.2, 45.2)",53,,NA,Rajasthan,8,Alwar
105,dm_unscreened,32.1,17.2,47.1,Proportion,"32.1 (17.2, 47.1)",68,,NA,Rajasthan,8,Bharatpur
105,dm_undiagnosed,35,19.8,50.3,Proportion,"35 (19.8, 50.3)",68,,NA,Rajasthan,8,Bharatpur
